,Segment_ID,Year,Route,Latitude,Longitude,GPS_Valid,Postmile_Distance,Ahead_AADT,Ahead_Peak_Hourly,Ahead_Peak_Monthly,Ahead_Collisions,Cluster
57,23348,2014,1,34.040144,-118.5793215,True,3.3520000000000043,49000,4750,51000,34,3
58,23349,2014,1,34.03695698,-118.63602790000002,True,2.969999999999999,41000,4000,43000,54,3
59,23350,2014,1,34.03444587,-118.6851226,True,0.6589999999999989,43000,5200,51000,5,1
60,23351,2014,1,34.03525817,-118.69708270000001,True,0.4209999999999994,36500,4450,43500,7,1
61,23352,2014,1,34.03478941,-118.70336929999999,True,5.849000000000004,32500,3950,38500,32,3
62,23353,2014,1,34.02154665,-118.8025736,True,2.8230000000000004,29500,3600,34500,17,3
63,23354,2014,1,34.03110795,-118.8435028,True,0.5479999999999947,16700,2200,20700,3,0
64,23355,2014,1,34.03501583,-118.8513243,True,2.0100000000000047,16700,2200,20700,7,0
65,23356,2014,1,34.04042179,-118.8854447,True,0.5,12300,1600,15100,3,0
66,23357,2014,1,34.04152143,-118.89438,True,2.3999999999999986,11700,1550,14400,2,0
67,23358,2014,1,34.04516439,-118.9350861,True,0.5659999999999954,11800,1550,14400,0,0
68,23359,2014,1,34.04665327,-118.9446253,True,1.2830000000000001,0,0,0,0,0
69,23360,2014,1,34.04665327,-118.9446253,True,9.866,11800,1550,14400,20,3
70,23361,2014,1,34.11238598,-119.0816787,True,0.3629999999999996,9600,1150,10700,3,0
71,23362,2014,1,34.11686829,-119.0852611,True,1.3650000000000002,8900,1050,9800,2,0
72,23363,2014,1,34.19655977,-119.09608770000001,True,1.1910000000000007,11500,1350,12500,0,0
73,23364,2014,1,34.14683676,-119.1113979,True,0.8049999999999997,12000,1400,12900,2,0
74,23365,2014,1,34.1539493575,-119.122615041,True,1.463000000000001,12100,1400,12900,2,0
75,23366,2014,1,34.16632324,-119.14231709999999,True,0.007999999999999119,17800,2050,18700,0,0
76,23367,2014,1,34.16559556,-119.1440132,True,0.8640000000000008,13100,1350,14000,0,0
77,23368,2014,1,34.17268592,-119.15641880000001,True,0.2850000000000001,10800,1100,11500,0,0
78,23369,2014,1,34.1754691,-119.1599104,True,0.4540000000000006,17700,1750,18200,0,0
79,23370,2014,1,34.18032045,-119.16544409999999,True,0.9619999999999996,17700,1750,18200,0,0
